natural_text,bayan_code,logic_explanation,lang,entities,actions,states,split,id
محمد في الحافلة يقوم بفعل 'مواساة' مع مريم,محمد.مواساة(مريم); مريم.حزن -= 0.3,المواساة تقلل الحزن,ar,"[""محمد"", ""مريم""]","[""مواساة""]","[""حزن""]",train,ex001
Noor at the hospital performs 'drive_car' with Youssef,Noor.drive_car(Youssef); Youssef.focus += 0.2; Youssef.energy -= 0.15,Driving requires focus and consumes energy,en,"[""Noor"", ""Youssef""]","[""drive_car""]","[""focus"", ""energy""]",train,ex002
في المدرسة: تبريد على صندوق,صندوق.تبريد(); صندوق.حرارة -= 0.3,التبريد يخفض الحرارة,ar,"[""صندوق""]","[""تبريد""]","[""حرارة""]",train,ex003
at home: Teacher performs advise for Student,Teacher.advise(Student); Student.focus += 0.2,Advice improves student focus,en,"[""Teacher"", ""Student""]","[""advise""]","[""focus""]",train,ex004
في الحديقة: مدرب يقوم بـتشجيع لـ عدّاء,مدرب.تشجيع(عدّاء); عدّاء.سرعة += 0.2,التشجيع يرفع سرعة العدّاء,ar,"[""مدرب"", ""عدّاء""]","[""تشجيع""]","[""سرعة""]",train,ex005
Ahmed in the metro performs 'serve_meal' with Ali,Ahmed.serve_meal(Ali); Ali.hunger -= 0.4; Ali.gratitude += 0.3,Serving food reduces hunger and increases gratitude,en,"[""Ahmed"", ""Ali""]","[""serve_meal""]","[""hunger"", ""gratitude""]",train,ex006
في المدرسة: معلّم يقوم بـنصح لـ طالب,معلّم.نصح(طالب); طالب.تركيز += 0.2,النصح يحسن تركيز الطالب,ar,"[""معلّم"", ""طالب""]","[""نصح""]","[""تركيز""]",train,ex007
on the bus: Teacher performs advise for Student,Teacher.advise(Student); Student.focus += 0.2,Advice improves student focus,en,"[""Teacher"", ""Student""]","[""advise""]","[""focus""]",train,ex008
في البيت: معلّم يقوم بـنصح لـ طالب,معلّم.نصح(طالب); طالب.تركيز += 0.2,النصح يحسن تركيز الطالب,ar,"[""معلّم"", ""طالب""]","[""نصح""]","[""تركيز""]",val,ex009
at work: Teacher performs advise for Student,Teacher.advise(Student); Student.focus += 0.2,Advice improves student focus,en,"[""Teacher"", ""Student""]","[""advise""]","[""focus""]",test,ex010
